,epoch_nums,epochs,eta_decay,eta_initial,final_t_accuracy,final_t_cost,final_v_accuracy,final_v_cost,hidden_size,lamda,plot,rho,t_accuracy,t_cost,v_accuracy,v_cost 
0,"[0, 1, 2, 3, 4]",5,0.95,0.5,0.3197,2.0183586148912998,0.3089,2.0727560728721013,50,0.001,plotresults/Csearch0.png,0.9,"[0.18920000000000001, 0.25319999999999998, 0.28570000000000001, 0.29720000000000002, 0.31969999999999998]","[2.3170558351661699, 2.2129812832552016, 2.1186230454256934, 2.057274284350556, 2.0183586148912998]","[0.183, 0.24349999999999999, 0.2853, 0.29189999999999999, 0.30890000000000001]","[2.3288076759766589, 2.2208165547946876, 2.1374170744957914, 2.0922828169826553, 2.0727560728721013]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.3,0.3053,2.0449991931197893,0.2973,2.0761283224732527,50,0.001,plotresults/Csearch1.png,0.9,"[0.1885, 0.2475, 0.27460000000000001, 0.29380000000000001, 0.30530000000000002]","[2.319496992305405, 2.2328121246016752, 2.1570675984784051, 2.0921928645461834, 2.0449991931197893]","[0.1885, 0.23730000000000001, 0.26800000000000002, 0.29220000000000002, 0.29730000000000001]","[2.3274278356322782, 2.2501333262262033, 2.1830171325695806, 2.1204288085956873, 2.0761283224732527]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.1,0.2845,2.1488290516378252,0.2736,2.171766683810661,50,0.001,plotresults/Csearch2.png,0.9,"[0.1646, 0.19980000000000001, 0.2266, 0.26000000000000001, 0.28449999999999998]","[2.380108740836643, 2.3057039801338814, 2.2413920148206885, 2.1889592120992218, 2.1488290516378252]","[0.15859999999999999, 0.18870000000000001, 0.21990000000000001, 0.25230000000000002, 0.27360000000000001]","[2.3900711615663064, 2.317572983263589, 2.2560712111559718, 2.2074217502505351, 2.1717666838106608]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.05,0.2097,2.2848423441934593,0.2071,2.2893720623404747,50,0.001,plotresults/Csearch3.png,0.9,"[0.1137, 0.16039999999999999, 0.18099999999999999, 0.1961, 0.2097]","[2.440156608046586, 2.3934271142806889, 2.3502732860707374, 2.315558051572792, 2.2848423441934593]","[0.11310000000000001, 0.15909999999999999, 0.184, 0.19589999999999999, 0.20710000000000001]","[2.4312179814016259, 2.3880839903161757, 2.3486180961128729, 2.3171373710409857, 2.2893720623404747]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.01,0.1622,2.37181411641734,0.1597,2.3720478930364006,50,0.001,plotresults/Csearch4.png,0.9,"[0.1202, 0.128, 0.13650000000000001, 0.14879999999999999, 0.16220000000000001]","[2.4329426250597939, 2.4211930087609717, 2.4060775967808148, 2.3891881716720422, 2.3718141164173399]","[0.1241, 0.1318, 0.13880000000000001, 0.14810000000000001, 0.15970000000000001]","[2.430775784791499, 2.4195142223720376, 2.4049776201844089, 2.3887012424244394, 2.3720478930364006]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.005,0.1226,2.4158196447450258,0.1268,2.4101284898827045,50,0.001,plotresults/Csearch5.png,0.9,"[0.10290000000000001, 0.10630000000000001, 0.10970000000000001, 0.11559999999999999, 0.1226]","[2.4554137374268454, 2.448540366483841, 2.4392154156553025, 2.4281064428596535, 2.4158196447450258]","[0.1045, 0.1076, 0.1111, 0.1177, 0.1268]","[2.4488208500679867, 2.4421204857125014, 2.4330269612500586, 2.4221510397463453, 2.4101284898827045]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.001,0.1013,2.469427143972152,0.1037,2.4610421828176303,50,0.001,plotresults/Csearch6.png,0.9,"[0.098000000000000004, 0.098500000000000004, 0.099500000000000005, 0.099900000000000003, 0.1013]","[2.4763439201782176, 2.4751929651147706, 2.4736047929626443, 2.4716572048173808, 2.469427143972152]","[0.1007, 0.1011, 0.1023, 0.10249999999999999, 0.1037]","[2.4674466433919999, 2.4663797400231964, 2.4649089317992647, 2.4631076939198291, 2.4610421828176303]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.5,0.3311,2.4337913839479333,0.3147,2.481497378828508,50,0.005,plotresults/Csearch7.png,0.9,"[0.19489999999999999, 0.27650000000000002, 0.29770000000000002, 0.31869999999999998, 0.33110000000000001]","[2.7840115622056847, 2.6195085205141404, 2.5842574249670087, 2.5084895016943345, 2.4337913839479333]","[0.1925, 0.27300000000000002, 0.29139999999999999, 0.30869999999999997, 0.31469999999999998]","[2.7824572190665582, 2.6341188569485507, 2.6160241868404657, 2.546679941065725, 2.4814973788285082]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.3,0.3178,2.486035584678217,0.3004,2.5296896604879615,50,0.005,plotresults/Csearch8.png,0.9,"[0.20860000000000001, 0.24990000000000001, 0.2737, 0.29699999999999999, 0.31780000000000003]","[2.7599826257306099, 2.6762176231102335, 2.6114969766649918, 2.5456481527598571, 2.4860355846782172]","[0.1958, 0.23930000000000001, 0.25969999999999999, 0.27860000000000001, 0.3004]","[2.7673319017146789, 2.6940780529231096, 2.6401708325973288, 2.5831588275875519, 2.5296896604879615]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.1,0.2522,2.6339682237931097,0.2486,2.6480727480255215,50,0.005,plotresults/Csearch9.png,0.9,"[0.15129999999999999, 0.1978, 0.2208, 0.23780000000000001, 0.25219999999999998]","[2.8346124711171243, 2.7632163523037168, 2.7071555127050542, 2.6677041479915107, 2.6339682237931097]","[0.14699999999999999, 0.1915, 0.21310000000000001, 0.23330000000000001, 0.24859999999999999]","[2.8387034866336331, 2.7701040242348132, 2.7164264004928507, 2.6791349437176617, 2.6480727480255215]"
