,epoch_nums,epochs,eta_decay,eta_initial,final_t_accuracy,final_t_cost,final_v_accuracy,final_v_cost,hidden_size,lamda,plot,rho,t_accuracy,t_cost,v_accuracy,v_cost 
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.35,0.3889,2.255865417043005,0.3646,2.3331646322196375,50,0.005,plotresults/Fsearch0.png,0.9,"[0.19850000000000001, 0.25409999999999999, 0.28339999999999999, 0.31330000000000002, 0.31609999999999999, 0.33589999999999998, 0.36230000000000001, 0.37280000000000002, 0.38219999999999998, 0.38890000000000002]","[2.7584041672650477, 2.6648750796431844, 2.5828433372433337, 2.5074484791258973, 2.4632824943851581, 2.4134044458734127, 2.3592693460102412, 2.3211169093156672, 2.2882683915446504, 2.255865417043005]","[0.19420000000000001, 0.25269999999999998, 0.2787, 0.30370000000000003, 0.30420000000000003, 0.32250000000000001, 0.34250000000000003, 0.35110000000000002, 0.36009999999999998, 0.36459999999999998]","[2.7659407219040539, 2.6805887878443575, 2.6045180590454757, 2.5328653391983504, 2.4951104041917356, 2.4530646263021243, 2.4096303405652986, 2.3830124002198247, 2.3590498152960331, 2.3331646322196375]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.31666666666666665,0.3797,2.28409154262405,0.356,2.3463666312094955,50,0.005,plotresults/Fsearch1.png,0.9,"[0.19869999999999999, 0.23799999999999999, 0.2757, 0.3095, 0.32769999999999999, 0.33019999999999999, 0.33329999999999999, 0.34870000000000001, 0.374, 0.37969999999999998]","[2.7558488615222032, 2.6809568887355018, 2.6078671385843215, 2.5185948753606673, 2.4666953583104307, 2.4417146082444718, 2.4147939515504802, 2.3674343647765941, 2.314859629119816, 2.2840915426240498]","[0.19600000000000001, 0.23130000000000001, 0.26869999999999999, 0.29770000000000002, 0.313, 0.31319999999999998, 0.31259999999999999, 0.32900000000000001, 0.34989999999999999, 0.35599999999999998]","[2.7614795321813945, 2.6970111720294798, 2.6331646455976445, 2.5486042448776081, 2.5013659402397375, 2.4817698697790131, 2.4616501119236509, 2.4211630536473252, 2.3734754569093046, 2.3463666312094955]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.2833333333333333,0.3696,2.310034712118665,0.3493,2.3729830440212707,50,0.005,plotresults/Fsearch2.png,0.9,"[0.19719999999999999, 0.21820000000000001, 0.26929999999999998, 0.29580000000000001, 0.3029, 0.32490000000000002, 0.34350000000000003, 0.3553, 0.3629, 0.36959999999999998]","[2.7768243610264043, 2.6947103465454578, 2.5885628393413613, 2.5240178983730392, 2.4783958330385993, 2.4274611264318331, 2.3896814903616459, 2.3615567797291055, 2.3362508652637848, 2.3100347121186648]","[0.19, 0.21479999999999999, 0.25729999999999997, 0.28289999999999998, 0.2918, 0.31430000000000002, 0.32700000000000001, 0.33789999999999998, 0.3453, 0.3493]","[2.7840386407448761, 2.7087313914157276, 2.6118476527415821, 2.5530531118196333, 2.5107620275783535, 2.4644013864170784, 2.434152046734515, 2.4143487915453101, 2.3952850392920557, 2.3729830440212707]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.25,0.3477,2.334548949174974,0.3244,2.3965837850819978,50,0.005,plotresults/Fsearch3.png,0.9,"[0.17080000000000001, 0.22009999999999999, 0.26340000000000002, 0.28999999999999998, 0.29380000000000001, 0.31259999999999999, 0.32969999999999999, 0.33950000000000002, 0.33689999999999998, 0.34770000000000001]","[2.8115676728508383, 2.7287457548302134, 2.658604660063876, 2.5929128144057518, 2.5331013054330063, 2.4737476384486605, 2.421216205519348, 2.3862049047416312, 2.3621646584898182, 2.334548949174974]","[0.17560000000000001, 0.21740000000000001, 0.255, 0.27579999999999999, 0.28560000000000002, 0.2964, 0.3155, 0.31990000000000002, 0.31759999999999999, 0.32440000000000002]","[2.8094349004217438, 2.728737848081396, 2.6628359659481018, 2.6037599433012395, 2.5531708731909424, 2.5034003394963458, 2.4602573174123514, 2.4333105052262205, 2.416685989712728, 2.3965837850819978]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.35,0.3848,2.205277775075369,0.3572,2.2881790620071567,50,0.00425,plotresults/Fsearch4.png,0.9,"[0.19009999999999999, 0.24610000000000001, 0.27760000000000001, 0.31369999999999998, 0.33200000000000002, 0.33069999999999999, 0.35930000000000001, 0.36730000000000002, 0.3795, 0.38479999999999998]","[2.6876945152433538, 2.5726081143017785, 2.5020989869467578, 2.4263566752006285, 2.3712543212407486, 2.3492154222718744, 2.299740549320509, 2.2663294996407881, 2.2370347565057824, 2.2052777750753689]","[0.18779999999999999, 0.24310000000000001, 0.2702, 0.29849999999999999, 0.31630000000000003, 0.31309999999999999, 0.33550000000000002, 0.34200000000000003, 0.35189999999999999, 0.35720000000000002]","[2.6975465509074672, 2.5878938588411788, 2.5224463555964021, 2.4516539542322002, 2.4002917488081255, 2.3869147091836656, 2.3501070136911948, 2.32970812915487, 2.3115052665964662, 2.2881790620071567]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.31666666666666665,0.3761,2.2156370194070627,0.3557,2.292738186471814,50,0.00425,plotresults/Fsearch5.png,0.9,"[0.21540000000000001, 0.25850000000000001, 0.28970000000000001, 0.312, 0.32190000000000002, 0.33960000000000001, 0.35070000000000001, 0.36230000000000001, 0.36959999999999998, 0.37609999999999999]","[2.6583256844206842, 2.5598837435426258, 2.5036160586890222, 2.440849437438644, 2.3997376178857883, 2.3492582493712906, 2.3121003297656046, 2.2748958480944301, 2.2425406871319375, 2.2156370194070627]","[0.21060000000000001, 0.2445, 0.27229999999999999, 0.29749999999999999, 0.30869999999999997, 0.33119999999999999, 0.33600000000000002, 0.34989999999999999, 0.35049999999999998, 0.35570000000000002]","[2.6674235909026174, 2.580560407749672, 2.5323874061070026, 2.4768392324152897, 2.4421558654305691, 2.3970920672893938, 2.364345800878791, 2.3338431575699956, 2.310356925457119, 2.2927381864718139]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.2833333333333333,0.378,2.244786717280074,0.3572,2.313662350424288,50,0.00425,plotresults/Fsearch6.png,0.9,"[0.1832, 0.22839999999999999, 0.26769999999999999, 0.30620000000000003, 0.31840000000000002, 0.32379999999999998, 0.33760000000000001, 0.35239999999999999, 0.36649999999999999, 0.378]","[2.6947559014526909, 2.624855736061475, 2.5425270835959655, 2.4616929392817566, 2.4114020841131847, 2.3742353913821654, 2.335561187572095, 2.300900786770673, 2.2716414155980056, 2.244786717280074]","[0.18440000000000001, 0.23100000000000001, 0.25929999999999997, 0.28770000000000001, 0.3019, 0.30199999999999999, 0.31409999999999999, 0.33019999999999999, 0.3453, 0.35720000000000002]","[2.6961448144985418, 2.6304591628940188, 2.5562671985339134, 2.4817684337630199, 2.438438758264077, 2.4105967339683243, 2.3818162537424428, 2.3561796097706496, 2.3345596147171692, 2.3136623504242881]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.25,0.3711,2.259362023305109,0.3484,2.3209601961065185,50,0.00425,plotresults/Fsearch7.png,0.9,"[0.1792, 0.21679999999999999, 0.25869999999999999, 0.27810000000000001, 0.30599999999999999, 0.32540000000000002, 0.33839999999999998, 0.3473, 0.36059999999999998, 0.37109999999999999]","[2.7095200089784077, 2.6234209399693942, 2.5348776752901325, 2.4788277457611159, 2.4241589305930371, 2.3757143551208637, 2.3531008113989045, 2.3292736811956605, 2.291692682156429, 2.2593620233051088]","[0.18340000000000001, 0.21809999999999999, 0.25629999999999997, 0.27539999999999998, 0.29970000000000002, 0.31879999999999997, 0.3291, 0.33279999999999998, 0.34229999999999999, 0.34839999999999999]","[2.7102051660028792, 2.6289150757875328, 2.5484490110484055, 2.5007576870039103, 2.4522586285733214, 2.4085386797714099, 2.3921053480915484, 2.3761305121226295, 2.3465782608541015, 2.3209601961065185]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.35,0.374,2.1571556283229496,0.3466,2.23428068260876,50,0.0034999999999999996,plotresults/Fsearch8.png,0.9,"[0.18759999999999999, 0.25600000000000001, 0.2737, 0.28610000000000002, 0.32119999999999999, 0.33410000000000001, 0.3427, 0.36249999999999999, 0.37769999999999998, 0.374]","[2.6359165804902931, 2.4993438482963231, 2.4154548399618441, 2.3719847534095275, 2.3163049972370198, 2.279116030181922, 2.2575332823211798, 2.2072533296436663, 2.16923566044834, 2.1571556283229496]","[0.18540000000000001, 0.2482, 0.26719999999999999, 0.28239999999999998, 0.30409999999999998, 0.318, 0.32479999999999998, 0.33960000000000001, 0.35149999999999998, 0.34660000000000002]","[2.6305811427162187, 2.5069354712832164, 2.434383365179134, 2.3965994090455252, 2.3478122244348252, 2.3202467768081934, 2.308036774651482, 2.2672911008100973, 2.238493179959681, 2.2342806826087598]"
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.95,0.31666666666666665,0.371,2.1661269162228316,0.3468,2.2361936696618288,50,0.0034999999999999996,plotresults/Fsearch9.png,0.9,"[0.1908, 0.23669999999999999, 0.27339999999999998, 0.30780000000000002, 0.32100000000000001, 0.32979999999999998, 0.34989999999999999, 0.3584, 0.36459999999999998, 0.371]","[2.6004493441741401, 2.5189231306310211, 2.437006346186513, 2.363424950958811, 2.3245883278623021, 2.278618616548711, 2.2317137612867914, 2.209504531045583, 2.1895974117802215, 2.1661269162228316]","[0.19009999999999999, 0.23280000000000001, 0.26419999999999999, 0.30049999999999999, 0.30470000000000003, 0.31309999999999999, 0.32619999999999999, 0.3367, 0.33950000000000002, 0.3468]","[2.6110335407611438, 2.5317718487080296, 2.458375324225003, 2.390234289203645, 2.3556109783959651, 2.3160352746396438, 2.2795748337182724, 2.2675984200561921, 2.2548227965664047, 2.2361936696618288]"
